"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"DDB_G0289751",16.1582613862677,0.0193017681960652,0.16904182977598,-0.423082331205965,0.672235193076923,0.82209057733774,"not sig."
"DDB_G0289755",113.278642130469,0.470751747161639,0.137319649587512,3.64002887477659,0.000272607469036858,0.00509666432504929,"FDR 0.05"
"DDB_G0289759",27.9598985635874,-0.195537663282115,0.165804422050643,-1.16187065850924,0.245288007198759,0.469106974484189,"not sig."
"DDB_G0289761",55.4835533351461,0.111520303752032,0.152533832718175,0.193361373097717,0.846675964327341,0.919459614274083,"not sig."
"DDB_G0289763",1116.78555887582,0.223637299047412,0.105251061002886,2.24339623026894,0.0248712747734371,0.105987488257022,"not sig."
"DDB_G0289769",258.031215547197,0.00285952257257771,0.131685101556005,-0.060569297946276,0.9517022253041,0.976075164796069,"not sig."
"DDB_G0289771",52.5822594395196,-0.0445259948276758,0.155645380865232,-0.667557626211452,0.504416013690273,0.712464084487873,"not sig."
"DDB_G0289773",150.218383849327,0.0472090739100196,0.121436261456339,0.365671029119406,0.714610566518387,0.84690976568575,"not sig."
"DDB_G0289777",6.75741593685651,0.00067350892876552,0.150664459116689,0.668426903471427,0.503861127001954,0.712042757136524,"not sig."
"DDB_G0289779",64.7820059749103,0.262667470244299,0.159697174062078,0.875859663039334,0.381106330387409,0.606404854830883,"not sig."
"DDB_G0289787",28.9282775390981,0.695320887738688,0.165001563253827,3.19322122536745,0.00140695113609054,0.0154007853034861,"FDR 0.05"
"DDB_G0289791",169.219657043395,-0.230283394470441,0.131449760623849,-1.55287033691387,0.120454114685397,0.297654055012645,"not sig."
"DDB_G0289797",7.61748864374801,0.113516227601089,0.15671366237857,0.751792942399232,0.452175586903045,0.66767679336074,"not sig."
"DDB_G0289801",9.56282921670473,0.321169892410627,0.160651221526133,1.6857004923752,0.0918535020038309,0.251622377157582,"not sig."
"DDB_G0289807",200.838400698275,-0.0149832166643664,0.118183056981244,0.14913297830535,0.881448703932801,0.938482148687538,"not sig."
"DDB_G0289809",22.3714096106865,-0.00890280861463532,0.168959525298291,-1.03049705628639,0.302776733401638,0.53013623615365,"not sig."
"DDB_G0289811",24452.0585872657,-0.0659790838834779,0.117820328588657,-0.360730573903638,0.71830086679049,0.848808334425952,"not sig."
