"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"DDB_G0270482",9160.17448827039,-0.0259746530803781,0.129410446458834,0.00902168172152219,0.992801837086021,0.99570766304682,"not sig."
"DDB_G0270488",5265.90121179385,-0.200624125696313,0.121769809269002,-1.64270663451495,0.100443645442378,0.19929590884938,"not sig."
"DDB_G0270490",131.939916435292,2.13345566398893,0.150411650933394,12.2805437391572,1.15221254353887e-34,9.98192295371939e-33,"FDR 0.05"
"DDB_G0270492",14.9254134807504,0.179368128471835,0.308527058068584,0.502266997196522,0.61547972093932,0.746119505504055,"not sig."
"DDB_G0270494",5.68263944945488,0.0915126072113551,0.339410009912071,-0.313877441195201,0.753614124490133,0.845873072041411,"not sig."
"DDB_G0270496",701.81271765309,-0.865387204625348,0.152927417863352,-5.18441136384561,2.16698170322495e-07,2.33473028685023e-06,"FDR 0.05"
"DDB_G0270500",557.307181796015,0.354883178191676,0.111022252320253,3.18873506979455,0.00142896774177097,0.00586650683154523,"FDR 0.05"
"DDB_G0270506",95.7847057950216,0.0390892068388349,0.172202809106571,0.0695182874230512,0.944577076608946,0.969148317960659,"not sig."
"DDB_G0270510",30.229215942057,0.934668686579755,0.283165029367588,2.31735803753438,0.0204842361981658,0.0558123123627816,"FDR 0.1"
"DDB_G0270518",38.0375856422522,-1.97118101411929,0.274635577036962,-7.068637884217,1.56461839158489e-12,3.59016490393397e-11,"FDR 0.05"
"DDB_G0270538",76.7927501548747,-0.124271337479339,0.175569723081966,-1.0362549299457,0.300083226515499,0.454379631374458,"not sig."
"DDB_G0270544",102.614365027303,-0.351132589663676,0.160136980042969,-2.27578539517227,0.0228588572936544,0.0611634725569258,"FDR 0.1"
"DDB_G0270550",29.6698962534098,0.0804020725607102,0.243358145037917,0.532381025503335,0.59446212417807,0.728647816075238,"not sig."
"DDB_G0270552",810.125315888572,0.031879065990081,0.105550279645341,0.233825453070785,0.815120488563808,0.889119448112199,"not sig."
"DDB_G0270560",352.180138224671,-0.0254579009949903,0.129738141171003,0.26254619962224,0.792900371989771,0.874115810494288,"not sig."
"DDB_G0270562",746.036813484557,-0.0179047329951442,0.102089783873251,-0.357341710624666,0.720836007910207,0.823341545426834,"not sig."
"DDB_G0270564",21.76626428983,0.311911484013306,0.291993890904872,1.42292708270102,0.154757294297297,0.276958142618897,"not sig."
"DDB_G0270566",1021.85041952823,-0.495474065979343,0.119231601327977,-3.73594618262678,0.000187010664619043,0.00100743689252264,"FDR 0.05"
"DDB_G0270568",24.0767942707016,0.107663769496512,0.275898869743088,0.614545661837312,0.538854808975687,0.682206580406141,"not sig."
"DDB_G0270572",71.1078066776396,-0.0465702430108127,0.228445623162885,-0.0434477710312501,0.96534459785371,0.981271384727661,"not sig."
"DDB_G0270578",230.881758010377,-0.345337711959044,0.126653924520903,-2.84649358655006,0.00442036196329628,0.0152556394586933,"FDR 0.05"
"DDB_G0270580",14.9630796792398,0.0373363924172358,0.270646305431893,-0.452157200391003,0.651155738701032,0.770389105570201,"not sig."
"DDB_G0270590",830.820271344617,0.404062891140109,0.112952001400525,3.58782101917571,0.000333453054299389,0.00168312510761107,"FDR 0.05"
"DDB_G0270592",10.8307875918907,0.214267402082396,0.330319665174167,-0.237826581773778,0.812015600826651,0.886917850381869,"not sig."
"DDB_G0270596",11.1405579942443,0.476543667482887,0.301211236400192,1.06481073896341,0.286961584456498,0.44040199783725,"not sig."
"DDB_G0270604",6.21335825661061,-0.398281775034764,0.337668361339498,-1.66554190080142,0.0958046913569369,0.191948256997315,"not sig."
"DDB_G0270618",547.711500735141,-0.404821983402412,0.185900398277893,-2.03130245357763,0.0422243226442423,0.10103847216731,"not sig."
"DDB_G0270622",1232.65378560735,0.0921695288452783,0.127810083518651,0.690736709275088,0.489731015686154,0.640847152154046,"not sig."
"DDB_G0270626",537.05647569985,0.170078931821875,0.10561194433802,1.4307893064317,0.152490608767176,0.273593674647787,"not sig."
"DDB_G0270632",15.2267643665875,-0.429548259558491,0.290873274965978,-1.63309845042531,0.102448292462227,0.202087825976838,"not sig."
"DDB_G0270634",7948.42048251798,0.0470693495179621,0.105395766482138,0.512044659550028,0.608619754128358,0.740734586432886,"not sig."
"DDB_G0270640",1836.70439799066,0.347827882587933,0.092376389969896,3.70392799415011,0.000212286539330131,0.00112856150213702,"FDR 0.05"
"DDB_G0270642",280.288183545601,-0.281525034761928,0.162583599553889,-1.50099273861357,0.133357439713403,0.24726024528648,"not sig."
"DDB_G0270646",14.0012483475135,0.106719509836242,0.273354169518589,0.342671034309033,0.731845956053715,0.82999895363292,"not sig."
"DDB_G0270652",7.29875497759685,-0.543526525612627,0.339004561930026,-2.10353859687371,0.0354187150524092,0.0876435123272964,"FDR 0.1"
"DDB_G0270658",22126.0716700567,0.148402658829988,0.143510910959708,0.615067483601375,0.538510154925523,0.682075371522854,"not sig."
"DDB_G0270664",44.0692128125825,-0.463277664438225,0.236143608543144,-2.53762345569391,0.0111607995670837,0.033577316911602,"FDR 0.05"
"DDB_G0270666",49.9689895030603,-0.0429042440461188,0.224724955678076,-0.417533835717825,0.676287980741172,0.789232780516441,"not sig."
"DDB_G0270668",409.242007100858,-0.236282625153294,0.123898716401312,-1.81080864653398,0.0701704774137151,0.150795611828106,"not sig."
